기준년월,국가코드,수출입구분코드,순위,국가명,수출입구분명,당월수출입중량(KG),당월수출입미화금액(1$),당해누계수출입중량(KG),당해누계수출입미화금액(1$),데이터기준일자
201805,CN,I,1,중국,수입,75134740,128658822,423727439,620142161,2018-06-30
201805,RU,I,2,러시아,수입,24524062,78978766,121087956,366332813,2018-06-30
201805,VN,I,3,베트남,수입,14433209,67833050,65197728,310863805,2018-06-30
201805,NO,I,4,노르웨이,수입,5293462,36144518,38573780,184608650,2018-06-30
201805,US,I,5,미국,수입,9173432,32082363,41886328,128250022,2018-06-30
201805,HK,I,6,홍콩,수입,1619,9019056,19861,110503003,2018-06-30
201805,CL,I,7,칠레,수입,7043727,20706028,23851452,80468945,2018-06-30
201805,TH,I,8,태국,수입,2306671,14549389,11717922,73921993,2018-06-30
201805,PE,I,9,페루,수입,4989414,16924944,16737752,72765423,2018-06-30
201805,JP,I,10,일본,수입,2777428,12724465,13532225,64728604,2018-06-30
201805,TW,I,11,대만,수입,2346339,10688668,16775212,46545545,2018-06-30
201805,CA,I,12,카나다,수입,478592,9436129,2690611,46437970,2018-06-30
201805,EC,I,13,에쿠아도르,수입,735869,4909761,4933922,35068459,2018-06-30
201805,IN,I,14,인디아,수입,56987014,4317818,607740035,32344280,2018-06-30
201805,ID,I,15,인도네시아,수입,3120432,6886899,8627231,24613148,2018-06-30
201805,GN,I,16,기니아,수입,963497,4118652,5672214,23069588,2018-06-30
201805,AU,I,17,호주,수입,163353714,4236635,816714723,22646993,2018-06-30
201805,AR,I,18,아르헨티나,수입,1084055,4715742,5214651,21274853,2018-06-30
201805,IT,I,19,이탈리아,수입,58424,1016739,854982,21259161,2018-06-30
201805,PH,I,20,필리핀,수입,328288,2495213,1206775,17652323,2018-06-30
201805,GB,I,21,영국,수입,558475,6782471,1948585,17211205,2018-06-30
201805,MX,I,22,멕시코,수입,108159678,4174211,442027787,16129102,2018-06-30
201805,MY,I,23,말레이시아,수입,325039,2482705,2211590,15404398,2018-06-30
201805,FR,I,24,프랑스,수입,80635,721931,803981,15273625,2018-06-30
201805,ES,I,25,스페인,수입,330132,1301625,1779312,14856579,2018-06-30
201805,NZ,I,26,뉴질랜드,수입,961515,2119220,5566271,13036940,2018-06-30
201805,MR,I,27,모리타니아,수입,504828,2175505,1431137,11839977,2018-06-30
201805,MA,I,28,모로코,수입,362087,1498043,2010642,11513394,2018-06-30
201805,SN,I,29,세네갈,수입,679938,2795980,2752214,11188447,2018-06-30
201805,PK,I,30,파키스탄,수입,1001165,2204709,5336603,9767056,2018-06-30
201805,VU,I,31,바누아트,수입,384403,1250675,3052374,8846207,2018-06-30
201805,TR,I,32,터키,수입,134488,602635,882756,7253330,2018-06-30
201805,PT,I,33,포르투갈,수입,677053,3059537,2596902,6761034,2018-06-30
201805,SL,I,34,시에라리온,수입,331832,1315995,1752054,6741710,2018-06-30
201805,IE,I,35,아일랜드,수입,110189,1498686,457405,6239348,2018-06-30
201805,IS,I,36,아이슬란드,수입,434439,1462289,1829111,6134689,2018-06-30
201805,SA,I,37,사우디아라비아,수입,269424,1933264,808462,5659895,2018-06-30
201805,MT,I,38,몰타,수입,7044,156361,174167,4965622,2018-06-30
201805,VE,I,39,베네주엘라,수입,285148,1031881,1215382,4678962,2018-06-30
201805,BH,I,40,바레인,수입,68166,291933,1092898,4539436,2018-06-30
201805,GM,I,41,감비아,수입,225686,1031686,883206,4490167,2018-06-30
201805,DK,I,42,덴마아크,수입,837784,1126606,2964519,3702842,2018-06-30
201805,PG,I,43,파퓨아뉴기니,수입,212195,808573,954128,3532789,2018-06-30
201805,NA,I,44,나미비아,수입,55269,483666,387727,3359839,2018-06-30
